target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),3,0.21491440168192366,0.29744746098465097,20.144120297952252,0.09977657820658647,-0.0072645505614219175,0.16390712810644964
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),4,0.2502533079417906,0.30450702078780884,27.474705381693898,-0.4546438713167267,0.13452281845151176,0.26197971636910233
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),5,0.21770320250005504,0.2597500430412918,21.6179832234098,0.22420135946268072,0.067608474688835,0.18097867922251265
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,1,0.23976310089488279,0.29271151622710107,24.51632587690486,-0.1427004930208542,0.0320752896528299,0.1924818645816171
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,2,0.26634913919431774,0.3233658504594256,25.932181246563673,-0.04093285110326783,0.013992434575881667,0.2236130178526139
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,3,0.24812238266178632,0.32271675215992635,23.967747324612468,-0.05967526249820443,-0.0019344756648871466,0.20889607744520622
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,4,0.19794894429532614,0.2550902305356228,20.7253108468219,-0.02082127713650439,-0.010831677380410935,0.15921901532468952
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,5,0.24860841776074433,0.3017423187241681,24.35257768181349,-0.04691206429797301,0.009406972949979291,0.22061368371972667
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),1,0.2105137433660258,0.2620893617511874,22.414363597383243,0.08388164932859044,0.09287546808194504,0.17819181259940664
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),2,0.25454297132219134,0.3089612811870471,24.19212419239174,0.04973983899518253,-0.015524411583944901,0.24034501509953932
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),3,0.24508617023959092,0.31100335196688605,23.824582608300247,0.015853130104914737,0.002028922670345939,0.21724478341800302
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),4,0.21303217114381967,0.2683010212984473,24.000346031584737,-0.12929319889575352,0.08789286963989813,0.16639406116385208
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),5,0.22469664239234843,0.27970776794863017,20.150940978269222,0.10040545540730184,-0.07846670953421493,0.19802278260223
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),1,0.19688666061186108,0.24889641389106926,18.420318955167474,0.2182809879665415,0.019837259226969762,0.17125923121022912
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),2,0.2375337575825852,0.2934921310253819,20.993542215540124,0.13655136404672652,-0.017806520689571757,0.18626095425709044
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),3,0.19444614561385845,0.25054508288037386,17.485301596451876,0.20400678485994383,0.011668412118038011,0.18005512407685553
