model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),2.0,1.16,220,107.0,0.4863636363636364,54,53,27,86,0.5046728971962616,0.6666666666666666,0.5744680851063829
Random forest (S2),2.0,1.17,220,105.0,0.4772727272727273,52,47,29,92,0.5252525252525253,0.6419753086419753,0.5777777777777777
Random forest (S2),2.0,1.18,220,113.0,0.5136363636363637,45,41,36,98,0.5232558139534884,0.5555555555555556,0.5389221556886228
Random forest (S2),2.0,1.19,220,117.0,0.5318181818181819,39,33,42,106,0.5416666666666666,0.48148148148148145,0.5098039215686274
Random forest (S2),2.0,1.2,220,111.0,0.5045454545454545,38,25,43,114,0.6031746031746031,0.4691358024691358,0.5277777777777777
Random forest (S2),2.0,1.21,220,107.0,0.4863636363636364,37,19,44,120,0.6607142857142857,0.4567901234567901,0.5401459854014599
Random forest (S2),2.0,1.22,220,120.0,0.5454545454545454,30,18,51,121,0.625,0.37037037037037035,0.4651162790697674
Random forest (S2),2.0,1.23,220,124.0,0.5636363636363636,27,16,54,123,0.627906976744186,0.3333333333333333,0.43548387096774194
Random forest (S2),2.0,1.24,220,131.0,0.5954545454545455,21,11,60,128,0.65625,0.25925925925925924,0.37168141592920345
Random forest (S2),2.0,1.25,220,142.0,0.6454545454545455,14,8,67,131,0.6363636363636364,0.1728395061728395,0.27184466019417475
Random forest (S2),2.0,1.26,220,152.0,0.6909090909090909,8,6,73,133,0.5714285714285714,0.09876543209876543,0.16842105263157894
Random forest (S2),2.0,1.27,220,156.0,0.7090909090909091,5,4,76,135,0.5555555555555556,0.06172839506172839,0.1111111111111111
Random forest (S2),2.0,1.28,220,160.0,0.7272727272727273,3,4,78,135,0.42857142857142855,0.037037037037037035,0.06818181818181818
Random forest (S2),2.0,1.29,220,165.0,0.75,0,3,81,136,0.0,0.0,
Random forest (S2),2.0,1.3,220,163.0,0.740909090909091,0,1,81,138,0.0,0.0,
Random forest (S2),2.0,1.31,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.32,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.33,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.34,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.35,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.36,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.37,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.38,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.39,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.4,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.41,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.42,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.43,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.44,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.45,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.46,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.47,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.48,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.49,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.5,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.51,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.52,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.53,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.54,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.55,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.56,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.57,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.58,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.59,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),2.0,1.6,220,162.0,0.7363636363636363,0,0,81,139,,0.0,
Random forest (S2),5.0,0.6,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.61,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.62,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.63,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.64,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.65,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.66,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.67,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.68,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.69,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.7,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.71,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.72,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.73,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.74,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.75,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.76,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.77,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.78,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.79,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
