model,precision,recall,threshold,average_precision
Random forest (S2),0.3103448275862069,0.16071428571428573,1.2207247452913847,0.34884220045478836
Random forest (S2),0.2857142857142857,0.14285714285714285,1.221183173553488,0.34884220045478836
Random forest (S2),0.2962962962962963,0.14285714285714285,1.223922683714367,0.34884220045478836
Random forest (S2),0.3076923076923077,0.14285714285714285,1.224173830030824,0.34884220045478836
Random forest (S2),0.32,0.14285714285714285,1.224647022180124,0.34884220045478836
Random forest (S2),0.3333333333333333,0.14285714285714285,1.2269985600593238,0.34884220045478836
Random forest (S2),0.34782608695652173,0.14285714285714285,1.2286212471477371,0.34884220045478836
Random forest (S2),0.36363636363636365,0.14285714285714285,1.2292690653279732,0.34884220045478836
Random forest (S2),0.38095238095238093,0.14285714285714285,1.2309434486041928,0.34884220045478836
Random forest (S2),0.4,0.14285714285714285,1.2313845477275014,0.34884220045478836
Random forest (S2),0.3684210526315789,0.125,1.2320169499971698,0.34884220045478836
Random forest (S2),0.3888888888888889,0.125,1.2323727671520133,0.34884220045478836
Random forest (S2),0.4117647058823529,0.125,1.232387284339019,0.34884220045478836
Random forest (S2),0.4375,0.125,1.2329635259016003,0.34884220045478836
Random forest (S2),0.4666666666666667,0.125,1.2344223732888575,0.34884220045478836
Random forest (S2),0.5,0.125,1.2372509720684115,0.34884220045478836
Random forest (S2),0.5384615384615384,0.125,1.242829534677298,0.34884220045478836
Random forest (S2),0.5,0.10714285714285714,1.2439334765730614,0.34884220045478836
Random forest (S2),0.5454545454545454,0.10714285714285714,1.245279022706455,0.34884220045478836
Random forest (S2),0.6,0.10714285714285714,1.247449322307464,0.34884220045478836
Random forest (S2),0.5555555555555556,0.08928571428571429,1.2515179380859718,0.34884220045478836
Random forest (S2),0.5,0.07142857142857142,1.2549572950164427,0.34884220045478836
Random forest (S2),0.42857142857142855,0.05357142857142857,1.2758807567881358,0.34884220045478836
Random forest (S2),0.3333333333333333,0.03571428571428571,1.2922394299973197,0.34884220045478836
Random forest (S2),0.2,0.017857142857142856,1.2932708629559213,0.34884220045478836
Random forest (S2),0.0,0.0,1.2989163960279415,0.34884220045478836
Random forest (S2),0.0,0.0,1.3064590601434114,0.34884220045478836
Random forest (S2),0.0,0.0,1.3092321185614464,0.34884220045478836
Random forest (S2),0.0,0.0,1.3098848056565342,0.34884220045478836
Random forest (S2),1.0,0.0,,0.34884220045478836
XGBoost (S2),0.2066420664206642,1.0,0.8040586709976196,0.3268092143748066
XGBoost (S2),0.2074074074074074,1.0,0.8501907587051392,0.3268092143748066
XGBoost (S2),0.20817843866171004,1.0,0.8640925884246826,0.3268092143748066
XGBoost (S2),0.208955223880597,1.0,0.8873698711395264,0.3268092143748066
XGBoost (S2),0.20973782771535582,1.0,0.9173401594161988,0.3268092143748066
XGBoost (S2),0.21052631578947367,1.0,0.9175514578819276,0.3268092143748066
XGBoost (S2),0.21132075471698114,1.0,0.9217078685760498,0.3268092143748066
XGBoost (S2),0.21212121212121213,1.0,0.9337350726127625,0.3268092143748066
XGBoost (S2),0.21292775665399238,1.0,0.9385476112365724,0.3268092143748066
XGBoost (S2),0.21374045801526717,1.0,0.939931571483612,0.3268092143748066
XGBoost (S2),0.21455938697318008,1.0,0.946474552154541,0.3268092143748066
XGBoost (S2),0.2153846153846154,1.0,0.9470824599266052,0.3268092143748066
XGBoost (S2),0.21621621621621623,1.0,0.9554348587989808,0.3268092143748066
XGBoost (S2),0.21705426356589147,1.0,0.9574799537658693,0.3268092143748066
XGBoost (S2),0.2178988326848249,1.0,0.95988529920578,0.3268092143748066
XGBoost (S2),0.21875,1.0,0.9613018035888672,0.3268092143748066
XGBoost (S2),0.2196078431372549,1.0,0.973542869091034,0.3268092143748066
XGBoost (S2),0.2204724409448819,1.0,0.9804449677467346,0.3268092143748066
XGBoost (S2),0.22134387351778656,1.0,0.9806861877441406,0.3268092143748066
XGBoost (S2),0.2222222222222222,1.0,0.9811946153640748,0.3268092143748066
XGBoost (S2),0.22310756972111553,1.0,0.981553316116333,0.3268092143748066
XGBoost (S2),0.224,1.0,0.9859814047813416,0.3268092143748066
XGBoost (S2),0.2248995983935743,1.0,0.9885401725769044,0.3268092143748066
XGBoost (S2),0.22580645161290322,1.0,0.9899678230285645,0.3268092143748066
XGBoost (S2),0.22672064777327935,1.0,0.9959140419960022,0.3268092143748066
XGBoost (S2),0.22764227642276422,1.0,0.996199071407318,0.3268092143748066
XGBoost (S2),0.22857142857142856,1.0,0.9976156949996948,0.3268092143748066
XGBoost (S2),0.22950819672131148,1.0,0.9995989203453064,0.3268092143748066
XGBoost (S2),0.22633744855967078,0.9821428571428571,1.0065914392471311,0.3268092143748066
XGBoost (S2),0.22727272727272727,0.9821428571428571,1.006607174873352,0.3268092143748066
XGBoost (S2),0.22821576763485477,0.9821428571428571,1.0089619159698486,0.3268092143748066
XGBoost (S2),0.22916666666666666,0.9821428571428571,1.009016990661621,0.3268092143748066
XGBoost (S2),0.2301255230125523,0.9821428571428571,1.0093077421188354,0.3268092143748066
XGBoost (S2),0.23109243697478993,0.9821428571428571,1.0128761529922483,0.3268092143748066
XGBoost (S2),0.2320675105485232,0.9821428571428571,1.015783429145813,0.3268092143748066
XGBoost (S2),0.2330508474576271,0.9821428571428571,1.0157864093780518,0.3268092143748066
XGBoost (S2),0.23404255319148937,0.9821428571428571,1.0183364152908323,0.3268092143748066
XGBoost (S2),0.23504273504273504,0.9821428571428571,1.03080153465271,0.3268092143748066
XGBoost (S2),0.23605150214592274,0.9821428571428571,1.0329564809799194,0.3268092143748066
XGBoost (S2),0.23706896551724138,0.9821428571428571,1.033220291137695,0.3268092143748066
XGBoost (S2),0.23809523809523808,0.9821428571428571,1.035567045211792,0.3268092143748066
XGBoost (S2),0.2391304347826087,0.9821428571428571,1.042666792869568,0.3268092143748066
XGBoost (S2),0.24017467248908297,0.9821428571428571,1.0428457260131836,0.3268092143748066
XGBoost (S2),0.2412280701754386,0.9821428571428571,1.0453702211380005,0.3268092143748066
