model_family,specification,fold,n_features,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Random forest,S5,1,123,0.1993249029904343,0.23535490985893856,21.015433554717536,0.09896631111382714,0.040713321591440074,0.16187988882095683
Random forest,S5,2,123,0.22966609949109718,0.28008420703292813,21.78452205295727,0.1047616348943794,-0.01767330504270429,0.1701334794711098
Random forest,S5,3,123,0.197943655786025,0.24016633263131182,20.153400232752414,0.1982032327198956,0.031213828498975683,0.1802298772375246
Random forest,S5,4,123,0.19763755025873192,0.23646297331553337,22.41626961440186,0.026351941767271625,0.11164304449863467,0.15849236786829368
Random forest,S5,5,123,0.18057954831597714,0.2270414200727553,17.550036851182902,0.325809749145652,-0.003971677182829473,0.1648318377767639
Random forest,S6,1,127,0.19734539150273323,0.23636052936993604,20.983342611105957,0.09125002565894802,0.04712401633238155,0.17200092749882678
Random forest,S6,2,127,0.22863151866289935,0.2806572143388468,21.69578824274721,0.10109486007253332,-0.016529807240137657,0.1808610048587529
Random forest,S6,3,127,0.20199055270268404,0.24615784252012285,20.649296792123593,0.1576988341962665,0.03307259026713563,0.17763298475316458
Random forest,S6,4,127,0.19673596888667577,0.23571315923593197,22.284881484358035,0.03251694532475424,0.11101161169709278,0.1611606772016298
Random forest,S6,5,127,0.18373406195958647,0.2290966839471191,17.908783847705998,0.31354845755145466,-0.0008921774454833689,0.17224277274566813
